date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,return
2016-03-29 00:00:00+00:00,59.55,59.735,58.82,58.82,6031947,48.5227399154,48.6734822644,47.9279187543,47.9279187543,6031947,0.0,1.0,0.0100067842613837
2016-03-30 00:00:00+00:00,60.01,60.26,59.51,60.0,5723499,48.8975587291,49.1012646062,48.490146975,48.8894104941,5723499,0.0,1.0,0.0077246011736662
2016-03-31 00:00:00+00:00,59.7,60.21,59.68,59.77,5622834,48.6449634416,49.0605234308,48.6286669714,48.7020010872,5622834,0.0,1.0,-0.0051658056979779
2016-04-01 00:00:00+00:00,61.02,61.17,59.41,59.61,9401126,49.7205304725,49.8427539987,48.4086646242,48.5716293258,9401126,0.0,1.0,0.0221105527644451
2016-04-04 00:00:00+00:00,60.25,61.1839,60.08,61.1,5799864,49.0931163711,49.8540800455,48.9545963747,49.7857163531,5799864,0.0,1.0,-0.0126188135049568
2016-04-05 00:00:00+00:00,60.04,60.23,59.44,59.88,4994792,48.9220034344,49.076819901,48.4331093294,48.7916316731,4994792,0.0,1.0,-0.0034854771778296
2016-04-06 00:00:00+00:00,60.83,60.91,59.91,60.02,5667253,49.5657140059,49.6308998865,48.8160763783,48.9057069642,5667253,0.0,1.0,0.0131578947367345
2016-04-07 00:00:00+00:00,61.17,61.54,60.54,60.59,8239174,49.8427539987,50.1442386967,49.3294151885,49.3701563639,8239174,0.0,1.0,0.0055893473615051
2016-04-08 00:00:00+00:00,61.04,61.64,60.7,61.5,5064894,49.7368269426,50.2257210476,49.4597869498,50.1116457564,5064894,0.0,1.0,-0.0021252247839829
2016-04-11 00:00:00+00:00,60.9,61.5,60.78,61.22,6103358,49.6227516515,50.1116457564,49.5249728305,49.8834951741,6103358,0.0,1.0,-0.0022935779805906
2016-04-12 00:00:00+00:00,59.5,59.68,58.37,58.95,17565750,48.4819987399,48.6286669714,47.5612481756,48.0338458104,17565750,0.0,1.0,-0.0229885057485625
2016-04-13 00:00:00+00:00,60.21,61.08,59.75,60.32,9898527,49.0605234308,49.7694198829,48.685704617,49.1501540167,9898527,0.0,1.0,0.0119327731103604
2016-04-14 00:00:00+00:00,60.13,60.4,59.91,60.26,5157368,48.9953375501,49.2153398974,48.8160763783,49.1012646062,5157368,0.0,1.0,-0.0013286829438734
2016-04-15 00:00:00+00:00,60.51,60.6246,60.01,60.24,5965310,49.3049704833,49.3983492573,48.8975587291,49.084968136,5965310,0.0,1.0,0.0063196407797658
2016-04-18 00:00:00+00:00,60.89,61.07,60.355,60.69,7228573,49.6146034164,49.7612716479,49.1786728395,49.4516387147,7228573,0.0,1.0,0.0062799537260624
2016-04-19 00:00:00+00:00,60.9,61.25,60.48,61.16,7283570,49.6227516515,49.9079398793,49.280525778,49.8346057636,7283570,0.0,1.0,0.0001642305800897
2016-04-20 00:00:00+00:00,60.9,61.43,60.85,61.04,5558770,49.6227516515,50.0546081108,49.5820104761,49.7368269426,5558770,0.0,1.0,0.0
2016-04-21 00:00:00+00:00,60.64,61.1,60.48,60.9,12799083,49.4108975393,49.7857163531,49.280525778,49.6227516515,12799083,0.0,1.0,-0.0042692939256543
2016-04-22 00:00:00+00:00,57.68,59.1,57.03,59.01,29836693,46.999019955,48.1560693366,46.4693846746,48.0827352209,29836693,0.0,1.0,-0.0488126649061912
2016-04-25 00:00:00+00:00,57.77,57.96,57.58,57.62,8428038,47.0723540707,47.2271705373,46.9175376041,46.9501305445,8428038,0.0,1.0,0.0015603328701367
2016-04-26 00:00:00+00:00,57.72,58.67,57.56,58.05,8839067,47.0316128953,47.8056952281,46.901241134,47.300504653,8839067,0.0,1.0,-0.0008655011249025
2016-04-27 00:00:00+00:00,56.9,57.65,56.62,57.51,12390767,46.3634576185,46.9745752497,46.1353070362,46.8604999586,12390767,0.0,1.0,-0.0142065142075272
2016-04-28 00:00:00+00:00,56.42,57.36,56.32,56.59,9196560,45.9723423346,46.7382764323,45.8908599838,46.110862331,9196560,0.0,1.0,-0.0084358523714576
2016-04-29 00:00:00+00:00,56.23,56.43,55.29,56.02,12133364,45.817525868,45.9804905697,45.0515917703,45.6464129313,12133364,0.0,1.0,-0.003367600142564
2016-05-02 00:00:00+00:00,57.36,57.37,56.11,56.29,8616189,46.7382764323,46.7464246674,45.719747047,45.8664152785,8616189,0.0,1.0,0.0200960341453766
2016-05-03 00:00:00+00:00,56.25,57.059,56.14,56.7,7854260,45.9967870398,46.6583230525,45.9068377674,46.3647613361,7854260,0.2,1.0,-0.0158647140866232
2016-05-04 00:00:00+00:00,56.39,56.65,55.8,55.98,6508507,46.111267932,46.3238753032,45.6288127435,45.776002462,6508507,0.0,1.0,0.0024888888891509
2016-05-05 00:00:00+00:00,56.25,56.77,56.01,56.37,6215367,45.9967870398,46.4220017822,45.8005340818,46.0949135188,6215367,0.0,1.0,-0.0024827097005621
2016-05-06 00:00:00+00:00,56.31,56.32,55.38,55.96,6378690,46.0458502793,46.0540274859,45.2853700669,45.7596480489,6378690,0.0,1.0,0.0010666666664684
2016-05-09 00:00:00+00:00,56.64,56.93,56.23,56.32,5976229,46.3156980966,46.5528370876,45.9804326267,46.0540274859,5976229,0.0,1.0,0.0058604155567372
2016-05-10 00:00:00+00:00,57.49,57.6,56.71,56.85,7931185,47.0107606563,47.1007099288,46.3729385427,46.4874194349,7931185,0.0,1.0,0.0150070621466249
2016-05-11 00:00:00+00:00,56.23,57.39,56.09,57.13,8118920,45.9804326267,46.9289885905,45.8659517345,46.7163812193,8118920,0.0,1.0,-0.0219168551032991
2016-05-12 00:00:00+00:00,56.3,56.79,55.82,56.57,6870281,46.0376730727,46.4383561954,45.6451671567,46.2584576505,6870281,0.0,1.0,0.001244887068913
2016-05-13 00:00:00+00:00,55.82,56.6,55.73,56.43,5466041,45.6451671567,46.2829892703,45.5715722974,46.1439767584,5466041,0.0,1.0,-0.0085257548829669
2016-05-16 00:00:00+00:00,55.53,55.77,55.2,55.7,9536192,45.4080281657,45.6042811238,45.1381803484,45.5470406777,9536192,0.0,1.0,-0.0051952705132154
2016-05-17 00:00:00+00:00,54.88,55.64,54.51,55.38,10530018,44.8765097377,45.4979774381,44.5739530941,45.2853700669,10530018,0.0,1.0,-0.0117053844765164
2016-05-18 00:00:00+00:00,54.8,55.17,54.38,54.76,7468496,44.811092085,45.1136487287,44.4676494085,44.7783832587,7468496,0.0,1.0,-0.0014577259479928
